,data,replication,fold,trainRuntime,trainAUC,testAUC,trainAccuracy,TestAccuracy
0,CorelAntique,1,1,506.14034940200145,0.9002858999350227,0.9005263157894737,0.95,0.95
0,CorelAntique,1,2,509.28875401700134,0.9047563352826511,0.88,0.95,0.95
0,CorelAntique,1,3,510.705109728,0.8988953866146848,0.938421052631579,0.95,0.95
0,CorelAntique,1,4,509.7562181779995,0.9008576998050681,0.8984210526315789,0.95,0.95
0,CorelAntique,1,5,516.1007007879998,0.8978687459389214,0.9094736842105264,0.95,0.95
0,CorelAntique,1,6,512.8550860520008,0.9023456790123456,0.918421052631579,0.95,0.95
0,CorelAntique,1,7,507.4860332809985,0.9028460038986353,0.8578947368421053,0.95,0.95
0,CorelAntique,1,8,509.45002283800204,0.8951397011046133,0.9478947368421052,0.95,0.95
0,CorelAntique,1,9,507.7850665379992,0.9135932423651721,0.8194736842105264,0.95,0.95
0,CorelAntique,1,10,508.9408989140029,0.9032878492527616,0.8873684210526316,0.95,0.95
0,CorelAntique,2,1,505.22007461799876,0.8981546458739441,0.9347368421052632,0.95,0.95
0,CorelAntique,2,2,510.22514341900023,0.9080181936322287,0.858421052631579,0.95,0.95
0,CorelAntique,2,3,506.16259273200194,0.9088499025341131,0.8184210526315789,0.95,0.95
0,CorelAntique,2,4,508.38450752800054,0.9075308641975309,0.8478947368421051,0.95,0.95
0,CorelAntique,2,5,508.293057916002,0.8972839506172839,0.9363157894736842,0.95,0.95
0,CorelAntique,2,6,508.1591336329984,0.8989278752436648,0.9173684210526316,0.95,0.95
0,CorelAntique,2,7,505.45309781000105,0.8982846003898636,0.9257894736842105,0.95,0.95
0,CorelAntique,2,8,507.85388953099755,0.8955945419103314,0.9363157894736842,0.95,0.95
0,CorelAntique,2,9,508.92653423900265,0.8997335932423651,0.8873684210526316,0.95,0.95
0,CorelAntique,2,10,507.43039995300205,0.9010721247563352,0.8978947368421053,0.95,0.95
0,CorelAntique,3,1,509.7836110450007,0.8993112410656271,0.9121052631578948,0.95,0.95
0,CorelAntique,3,2,509.3203694879994,0.8965756985055231,0.9273684210526315,0.95,0.95
0,CorelAntique,3,3,509.59432134500094,0.8994217024041585,0.9189473684210527,0.95,0.95
0,CorelAntique,3,4,510.3889720629995,0.8939116309291748,0.9589473684210525,0.95,0.95
0,CorelAntique,3,5,508.630762847999,0.9024431448992852,0.8899999999999999,0.95,0.95
0,CorelAntique,3,6,508.82913275300234,0.905906432748538,0.8794736842105264,0.95,0.95
0,CorelAntique,3,7,510.9863194910031,0.9083560753736193,0.8152631578947369,0.95,0.95
0,CorelAntique,3,8,509.3042864389972,0.9034307992202729,0.8963157894736843,0.95,0.95
0,CorelAntique,3,9,507.9181527260007,0.8986679662118259,0.9163157894736842,0.95,0.95
0,CorelAntique,3,10,510.3839859539985,0.9062768031189085,0.8347368421052632,0.95,0.95
0,CorelAntique,4,1,510.4995660059976,0.8984990253411306,0.9263157894736842,0.95,0.95
0,CorelAntique,4,2,512.8436974530014,0.9051851851851852,0.8494736842105264,0.95,0.95
0,CorelAntique,4,3,509.31952580600046,0.9097076023391812,0.838421052631579,0.95,0.95
0,CorelAntique,4,4,509.51623181099785,0.8993697205977909,0.908421052631579,0.95,0.95
0,CorelAntique,4,5,510.7682437290023,0.9026250812215725,0.8836842105263158,0.95,0.95
0,CorelAntique,4,6,509.93348987100035,0.9020597790773229,0.9173684210526316,0.95,0.95
0,CorelAntique,4,7,511.09650947299815,0.8995191682910981,0.9278947368421053,0.95,0.95
0,CorelAntique,4,8,510.17840144499496,0.899551656920078,0.8957894736842105,0.95,0.95
0,CorelAntique,4,9,508.64682075499877,0.8989018843404808,0.9157894736842106,0.95,0.95
0,CorelAntique,4,10,511.6482639550013,0.9019428200129955,0.9178947368421053,0.95,0.95
0,CorelAntique,5,1,512.7183365480014,0.9119428200129954,0.81,0.95,0.95
0,CorelAntique,5,2,510.7358675470023,0.9007602339181288,0.928421052631579,0.95,0.95
0,CorelAntique,5,3,508.8479119550029,0.9041520467836257,0.8752631578947369,0.95,0.95
0,CorelAntique,5,4,512.4405719170027,0.9014684860298896,0.9042105263157895,0.95,0.95
0,CorelAntique,5,5,508.8756029040014,0.8971410006497725,0.9252631578947368,0.95,0.95
0,CorelAntique,5,6,507.3226197740005,0.8993437296946069,0.9142105263157895,0.95,0.95
0,CorelAntique,5,7,507.1633660139996,0.8973099415204678,0.9436842105263158,0.95,0.95
0,CorelAntique,5,8,511.7126810810005,0.9012085769980507,0.8921052631578948,0.95,0.95
0,CorelAntique,5,9,510.2262511009976,0.9040285899935023,0.8678947368421053,0.95,0.95
0,CorelAntique,5,10,511.9447368320034,0.8984275503573749,0.9273684210526316,0.95,0.95
0,CorelAntique,Average,Average,509.52390562488034,0.9016154645873946,0.8967473684210527,0.9500000000000006,0.9500000000000006
0,CorelBattleships,1,1,508.6365691730025,0.942059779077323,0.9126315789473685,0.95,0.95
0,CorelBattleships,1,2,510.7828528490063,0.942040285899935,0.9152631578947368,0.95,0.95
0,CorelBattleships,1,3,509.97118656100065,0.9402988953866147,0.9178947368421052,0.95,0.95
0,CorelBattleships,1,4,509.9087819819979,0.9338921377517868,0.9789473684210527,0.95,0.95
0,CorelBattleships,1,5,510.1158242180027,0.9373294346978557,0.9457894736842105,0.95,0.95
