,data,replication,fold,trainRuntime,trainAUC,testAUC,trainAccuracy,TestAccuracy
0,Musk1,1,1,13.952402927912772,1.0,1.0,1.0,0.9
0,Musk1,1,2,13.992955408990383,1.0,1.0,1.0,1.0
0,Musk1,1,3,14.174275886034593,1.0,0.9,1.0,0.6666666666666666
0,Musk1,1,4,14.200162797933444,1.0,0.8,1.0,0.6666666666666666
0,Musk1,1,5,14.108706507948227,1.0,1.0,1.0,1.0
0,Musk1,1,6,14.150339651037939,1.0,0.8,1.0,0.8888888888888888
0,Musk1,1,7,14.210609251982532,1.0,1.0,1.0,1.0
0,Musk1,1,8,14.110205222968943,1.0,1.0,1.0,0.7777777777777778
0,Musk1,1,9,14.057773274020292,1.0,0.9500000000000001,1.0,0.8888888888888888
0,Musk1,1,10,14.163772377069108,1.0,1.0,1.0,0.6666666666666666
0,Musk1,2,1,13.960139774950221,1.0,1.0,1.0,1.0
0,Musk1,2,2,13.907811997109093,1.0,0.8400000000000001,1.0,0.9
0,Musk1,2,3,14.117080499068834,1.0,1.0,1.0,0.8888888888888888
0,Musk1,2,4,14.160034700995311,1.0,0.85,1.0,0.8888888888888888
0,Musk1,2,5,14.085441858042032,1.0,0.95,1.0,0.7777777777777778
0,Musk1,2,6,14.14041337207891,1.0,0.9,1.0,0.7777777777777778
0,Musk1,2,7,14.12151713296771,1.0,1.0,1.0,0.8888888888888888
0,Musk1,2,8,14.108362111961469,1.0,1.0,1.0,1.0
0,Musk1,2,9,14.085498996893875,1.0,1.0,1.0,1.0
0,Musk1,2,10,14.137661013985053,1.0,1.0,1.0,1.0
0,Musk1,3,1,13.978576033958234,1.0,1.0,1.0,0.9
0,Musk1,3,2,14.004175506066531,1.0,1.0,1.0,1.0
0,Musk1,3,3,14.128637852030806,1.0,1.0,1.0,1.0
0,Musk1,3,4,14.126646789023653,1.0,1.0,1.0,0.8888888888888888
0,Musk1,3,5,14.122968079987913,1.0,0.8,1.0,0.6666666666666666
0,Musk1,3,6,14.191506608040072,1.0,1.0,1.0,0.8888888888888888
0,Musk1,3,7,14.077836751006544,1.0,1.0,1.0,1.0
0,Musk1,3,8,14.160645312978886,1.0,1.0,1.0,0.8888888888888888
0,Musk1,3,9,14.08656656590756,1.0,0.85,1.0,0.7777777777777778
0,Musk1,3,10,14.062154969898984,1.0,0.9,1.0,0.7777777777777778
0,Musk1,4,1,14.008973888936453,1.0,0.8400000000000001,1.0,0.8
0,Musk1,4,2,14.013325999025255,1.0,1.0,1.0,1.0
0,Musk1,4,3,14.113121022935957,1.0,0.95,1.0,0.7777777777777778
0,Musk1,4,4,14.123496396001428,1.0,1.0,1.0,1.0
0,Musk1,4,5,14.12717543693725,1.0,0.85,1.0,0.8888888888888888
0,Musk1,4,6,14.078177517978474,1.0,0.95,1.0,0.8888888888888888
0,Musk1,4,7,14.214829365024343,1.0,1.0,1.0,0.8888888888888888
0,Musk1,4,8,14.139858705922961,1.0,1.0,1.0,1.0
0,Musk1,4,9,14.088613634929061,1.0,1.0,1.0,1.0
0,Musk1,4,10,14.197232726961374,1.0,0.75,1.0,0.7777777777777778
0,Musk1,5,1,13.926835298072547,1.0,1.0,1.0,0.9
0,Musk1,5,2,13.949618743965402,1.0,1.0,1.0,0.8
0,Musk1,5,3,14.124381385976449,1.0,1.0,1.0,0.8888888888888888
0,Musk1,5,4,14.109838359989226,1.0,1.0,1.0,1.0
0,Musk1,5,5,14.201237147906795,1.0,0.6500000000000001,1.0,0.5555555555555556
0,Musk1,5,6,14.121168705984019,1.0,1.0,1.0,1.0
0,Musk1,5,7,14.140897982055321,1.0,0.8500000000000001,1.0,0.8888888888888888
0,Musk1,5,8,14.154251429950818,1.0,0.9500000000000001,1.0,0.8888888888888888
0,Musk1,5,9,14.111113536986522,1.0,1.0,1.0,1.0
0,Musk1,5,10,14.107975701102987,1.0,1.0,1.0,0.8888888888888888
0,Musk1,Average,Average,14.098740044389851,1.0,0.9466000000000001,1.0,0.8839999999999998
0,Musk2,1,1,22.579637164017186,1.0,1.0,1.0,0.9090909090909091
0,Musk2,1,2,22.535769380046986,0.9923469387755102,0.9642857142857143,0.989010989010989,0.7272727272727273
0,Musk2,1,3,22.80035980104003,0.9989974937343359,0.9583333333333334,0.9782608695652174,0.9
0,Musk2,1,4,23.0063293549465,0.9959899749373433,0.9166666666666667,0.9782608695652174,0.9
0,Musk2,1,5,22.858676280011423,1.0,0.9166666666666667,0.9782608695652174,0.8
0,Musk2,1,6,22.81949352310039,1.0,1.0,1.0,0.9
0,Musk2,1,7,22.407485599047504,1.0,0.9166666666666667,1.0,0.9
0,Musk2,1,8,22.24250963004306,1.0,0.75,1.0,0.6
0,Musk2,1,9,22.700536073069088,1.0,1.0,1.0,0.9
0,Musk2,1,10,22.808747036964633,1.0,0.8571428571428571,1.0,0.9
0,Musk2,2,1,22.496397227980196,1.0,1.0,1.0,0.9090909090909091
0,Musk2,2,2,22.35916329093743,1.0,0.9642857142857143,1.0,0.9090909090909091
0,Musk2,2,3,22.745234631933272,0.9974937343358397,0.9166666666666667,0.9565217391304348,0.8
0,Musk2,2,4,22.474508180981502,0.9949874686716791,0.9583333333333334,0.9891304347826086,0.8
0,Musk2,2,5,22.45502887305338,1.0,0.9166666666666667,1.0,0.7
0,Musk2,2,6,22.360288925934583,1.0,1.0,0.9891304347826086,1.0
0,Musk2,2,7,22.482729556038976,1.0,1.0,1.0,0.9
0,Musk2,2,8,22.770644727977924,1.0,0.9166666666666667,1.0,0.7
0,Musk2,2,9,22.626635166001506,1.0,0.9166666666666667,1.0,0.8
0,Musk2,2,10,22.764523471007124,0.9836309523809523,0.9047619047619049,0.9891304347826086,0.7
0,Musk2,3,1,21.895287955063395,0.9994897959183673,0.9285714285714286,0.989010989010989,0.8181818181818182
0,Musk2,3,2,22.56580203899648,0.9933673469387755,0.8928571428571429,0.989010989010989,0.8181818181818182
0,Musk2,3,3,22.794631977914833,1.0,0.8333333333333334,1.0,0.7
0,Musk2,3,4,22.898783370037563,1.0,0.9583333333333334,0.9891304347826086,0.8
0,Musk2,3,5,22.827042693970725,1.0,1.0,1.0,0.8
0,Musk2,3,6,22.897482200991362,1.0,0.9583333333333334,1.0,0.8
0,Musk2,3,7,22.97793507995084,1.0,1.0,1.0,0.9
0,Musk2,3,8,22.62824021105189,0.9989974937343358,1.0,0.967391304347826,1.0
0,Musk2,3,9,22.886351289926097,0.9964912280701754,0.9166666666666667,0.9891304347826086,0.9
0,Musk2,3,10,23.02907495503314,1.0,0.8571428571428571,1.0,0.8
0,Musk2,4,1,22.80413776997011,0.9964285714285713,0.9642857142857143,0.989010989010989,0.8181818181818182
0,Musk2,4,2,22.65164184605237,1.0,0.75,1.0,0.7272727272727273
0,Musk2,4,3,22.56857865501661,1.0,1.0,1.0,1.0
0,Musk2,4,4,22.355966342031024,0.9959899749373433,0.9583333333333334,0.9891304347826086,0.9
0,Musk2,4,5,22.907334890100174,1.0,1.0,1.0,0.8
0,Musk2,4,6,22.898044273024425,0.9964912280701754,0.9166666666666667,0.9891304347826086,0.9
0,Musk2,4,7,22.842022272059694,1.0,0.8333333333333334,1.0,0.8
0,Musk2,4,8,23.0087468320271,1.0,0.8333333333333333,1.0,0.6
0,Musk2,4,9,22.557342331041582,1.0,1.0,0.9891304347826086,0.9
0,Musk2,4,10,22.96867365494836,1.0,1.0,1.0,0.8
0,Musk2,5,1,22.580749529064633,1.0,0.8928571428571429,1.0,0.8181818181818182
0,Musk2,5,2,22.839502254966646,1.0,1.0,1.0,1.0
0,Musk2,5,3,22.861677770037204,1.0,0.9166666666666667,1.0,0.7
0,Musk2,5,4,22.88908110500779,1.0,0.75,1.0,0.8
0,Musk2,5,5,22.50448049104307,1.0,1.0,1.0,1.0
0,Musk2,5,6,22.813013801933266,1.0,1.0,1.0,1.0
0,Musk2,5,7,22.885067254072055,1.0,0.875,1.0,0.7
0,Musk2,5,8,22.708334367955104,0.9874686716791979,1.0,0.9782608695652174,0.9
0,Musk2,5,9,22.384481857996434,0.9959899749373433,0.8333333333333333,0.9891304347826086,0.8
0,Musk2,5,10,22.364048989024013,0.9985119047619047,0.5714285714285714,0.9565217391304348,0.7
0,Musk2,Average,Average,22.681765119088812,0.9984534550662372,0.9242857142857143,0.9930339225991403,0.833090909090909
0,Tiger,1,1,31.608667346998118,0.5,0.5,0.5,0.5
0,Tiger,1,2,31.771055685007013,0.5,0.45,0.5,0.5
0,Tiger,1,3,31.745945380069315,0.5333333333333333,0.55,0.5,0.5
0,Tiger,1,4,31.742265345994383,0.5111111111111111,0.5,0.5,0.5
0,Tiger,1,5,31.74552187102381,0.5055555555555555,0.45,0.5,0.5
0,Tiger,1,6,31.661199377966113,0.5,0.5,0.5,0.5
0,Tiger,1,7,32.082050874014385,0.5,0.5,0.5,0.5
0,Tiger,1,8,31.920785553986207,0.5,0.45,0.5,0.5
0,Tiger,1,9,31.631357159931213,0.5,0.5,0.5,0.5
