,data,replication,fold,trainRuntime,trainAUC,testAUC,trainAccuracy,TestAccuracy
0,CorelAntique,1,1,478.61225071900117,0.9004873294346979,0.8978947368421052,0.95,0.95
0,CorelAntique,1,2,479.16615631300374,0.9032553606237816,0.8826315789473684,0.95,0.95
0,CorelAntique,1,3,481.13861538299534,0.8967446393762184,0.9347368421052631,0.95,0.95
0,CorelAntique,1,4,479.05749054699845,0.9000259909031838,0.8963157894736842,0.95,0.95
0,CorelAntique,1,5,481.5328920299944,0.8942105263157895,0.9126315789473685,0.95,0.95
0,CorelAntique,1,6,478.3501928320038,0.9014294996751138,0.9147368421052631,0.95,0.95
0,CorelAntique,1,7,479.5703157800017,0.9027095516569201,0.8642105263157895,0.95,0.95
0,CorelAntique,1,8,478.3730926690041,0.8944314489928525,0.9478947368421052,0.95,0.95
0,CorelAntique,1,9,478.90428560100554,0.9108317089018844,0.8168421052631578,0.95,0.95
0,CorelAntique,1,10,477.0991262860043,0.9022612085769981,0.8857894736842106,0.95,0.95
0,CorelAntique,2,1,481.1235184910038,0.8958414554905783,0.9357894736842105,0.95,0.95
0,CorelAntique,2,2,483.99542986600136,0.9074658869395711,0.8594736842105264,0.95,0.95
0,CorelAntique,2,3,486.31592423100665,0.907283950617284,0.828421052631579,0.95,0.95
0,CorelAntique,2,4,498.86408021100215,0.9069460688758934,0.8431578947368421,0.95,0.95
0,CorelAntique,2,5,480.77933759799635,0.8965821962313191,0.9389473684210526,0.95,0.95
0,CorelAntique,2,6,478.7547615689982,0.8969265756985055,0.9157894736842106,0.95,0.95
0,CorelAntique,2,7,479.26334017299814,0.8982131254061079,0.9263157894736842,0.95,0.95
0,CorelAntique,2,8,479.0425316619949,0.8941195581546459,0.9347368421052632,0.95,0.95
0,CorelAntique,2,9,478.56368784300867,0.8995191682910981,0.8889473684210526,0.95,0.95
0,CorelAntique,2,10,480.12200936199224,0.8999220272904483,0.8857894736842105,0.95,0.95
0,CorelAntique,3,1,480.312722985007,0.897498375568551,0.8989473684210526,0.95,0.95
0,CorelAntique,3,2,477.277344186994,0.8951916829109812,0.9257894736842105,0.95,0.95
0,CorelAntique,3,3,479.8463813140115,0.8994476933073424,0.9184210526315789,0.95,0.95
0,CorelAntique,3,4,478.998790069003,0.8932748538011696,0.9589473684210528,0.95,0.95
0,CorelAntique,3,5,477.7501634979999,0.899759584145549,0.8878947368421054,0.95,0.95
0,CorelAntique,3,6,478.86654868100595,0.9057504873294348,0.8768421052631579,0.95,0.95
0,CorelAntique,3,7,479.8388524239999,0.9079207277452892,0.8157894736842105,0.95,0.95
0,CorelAntique,3,8,478.21498290999443,0.9028070175438597,0.9036842105263158,0.95,0.95
0,CorelAntique,3,9,478.98583423299715,0.8981156595191684,0.9173684210526316,0.95,0.95
0,CorelAntique,3,10,479.6044064260059,0.9073099415204678,0.8194736842105262,0.95,0.95
0,CorelAntique,4,1,479.35621063598956,0.8964457439896037,0.9336842105263158,0.95,0.95
0,CorelAntique,4,2,477.8026277080062,0.9034827810266408,0.8505263157894738,0.95,0.95
0,CorelAntique,4,3,480.10845540399896,0.9104028589993503,0.8363157894736843,0.95,0.95
0,CorelAntique,4,4,478.1388249070005,0.8996296296296296,0.9063157894736842,0.95,0.95
0,CorelAntique,4,5,478.720089844006,0.902495126705653,0.8805263157894738,0.95,0.95
0,CorelAntique,4,6,477.1182893360092,0.900929174788824,0.911578947368421,0.95,0.95
0,CorelAntique,4,7,480.7132775259961,0.8977712800519819,0.9247368421052631,0.95,0.95
0,CorelAntique,4,8,480.64742809500603,0.8980571799870045,0.895263157894737,0.95,0.95
0,CorelAntique,4,9,477.84213859601005,0.8964197530864197,0.9184210526315789,0.95,0.95
0,CorelAntique,4,10,479.2180358110054,0.9017348927875244,0.9121052631578948,0.95,0.95
0,CorelAntique,5,1,480.02466179399926,0.9118648473034439,0.8078947368421052,0.95,0.95
0,CorelAntique,5,2,478.4806937749963,0.8994606887589344,0.9310526315789474,0.95,0.95
0,CorelAntique,5,3,485.0211169300019,0.9033723196881093,0.8705263157894736,0.95,0.95
0,CorelAntique,5,4,482.8229652099981,0.8994931773879142,0.9010526315789474,0.95,0.95
0,CorelAntique,5,5,485.3865086200094,0.8956660168940871,0.9194736842105263,0.95,0.95
0,CorelAntique,5,6,477.895835643998,0.8968615984405459,0.9157894736842106,0.95,0.95
0,CorelAntique,5,7,479.689432596002,0.8950552306692658,0.9442105263157895,0.95,0.95
0,CorelAntique,5,8,479.1779491530033,0.9014424951267056,0.8905263157894737,0.95,0.95
0,CorelAntique,5,9,480.0712263710011,0.9028654970760234,0.861578947368421,0.95,0.95
0,CorelAntique,5,10,477.6687844410044,0.8980116959064328,0.93,0.95,0.95
0,CorelAntique,Average,Average,480.0845923658015,0.9005549057829759,0.8955157894736846,0.9500000000000006,0.9500000000000006
0,CorelBattleships,1,1,479.6997185389919,0.9487849252761534,0.9110526315789473,0.95,0.95
0,CorelBattleships,1,2,480.044052525991,0.9482391163092917,0.9173684210526316,0.95,0.95
0,CorelBattleships,1,3,478.277424364991,0.9457894736842105,0.9247368421052631,0.95,0.95
0,CorelBattleships,1,4,479.263247424009,0.9397985705003249,0.9821052631578947,0.95,0.95
0,CorelBattleships,1,5,486.52703234599903,0.9424366471734893,0.9547368421052632,0.95,0.95
0,CorelBattleships,1,6,489.2929824879975,0.9447043534762833,0.9505263157894737,0.95,0.95
