,data,replication,fold,trainRuntime,trainAUC,testAUC,Accuracy
0,Musk2,1,1,-231.8281907339997,0.6602040816326531,0.5714285714285714,0.5454545454545454
0,Musk2,1,2,-61.86820894799985,0.7454081632653061,0.7857142857142857,0.7272727272727273
0,Musk2,1,3,-333.9466546720005,0.7273182957393484,0.9583333333333334,0.6
0,Musk2,1,4,-421.72489911499997,0.7899749373433583,0.7083333333333334,0.7
0,Musk2,1,5,-88.82424051199996,0.7433583959899749,0.9583333333333334,0.8
0,Musk2,1,6,-97.8530061779993,0.7649122807017544,0.9583333333333334,0.8
0,Musk2,1,7,-235.29661367600056,0.7759398496240602,0.20833333333333331,0.5
0,Musk2,1,8,-67.39212162400054,0.8466165413533835,0.5416666666666666,0.4
0,Musk2,1,9,-244.69754284400005,0.9649122807017545,0.75,0.6
0,Musk2,1,10,-115.76209406499947,0.7663690476190477,0.9047619047619049,0.8
0,Musk2,2,1,-377.89887066699976,0.7836734693877551,0.5714285714285714,0.7272727272727273
0,Musk2,2,2,-343.9533002099997,0.6683673469387754,0.5714285714285714,0.5454545454545454
0,Musk2,2,3,-118.33939816399925,0.7739348370927318,0.9166666666666667,0.7
0,Musk2,2,4,-56.58533472900035,0.7794486215538847,0.875,0.7
0,Musk2,2,5,-238.17543179299992,0.9548872180451128,0.8333333333333334,0.6
0,Musk2,2,6,-89.03876861400022,0.8020050125313283,0.4166666666666667,0.6
0,Musk2,2,7,-270.19793912299974,0.7203007518796993,0.7083333333333333,0.6
0,Musk2,2,8,-95.4055414860004,0.7914786967418547,0.7083333333333334,0.7
0,Musk2,2,9,-425.45348473099966,0.9518796992481203,0.75,0.6
0,Musk2,2,10,-120.1177152399996,0.7271825396825397,1.0,0.8
0,Musk2,3,1,-136.30293515000085,0.7448979591836735,0.5,0.6363636363636364
0,Musk2,3,2,-233.7737718059998,0.938265306122449,0.6071428571428572,0.6363636363636364
0,Musk2,3,3,-104.27608760300063,0.7729323308270677,0.8333333333333334,0.8
0,Musk2,3,4,-279.9048733849995,0.731829573934837,0.6666666666666667,0.6
0,Musk2,3,5,-366.41743797100025,0.9664160401002507,0.75,0.6
0,Musk2,3,6,-108.8377986580017,0.7834586466165413,0.7083333333333334,0.7
0,Musk2,3,7,-330.9903985000001,0.7197994987468672,0.7083333333333334,0.5
0,Musk2,3,8,-161.2288891469998,0.7203007518796993,0.6666666666666667,0.6
0,Musk2,3,9,-100.02812592100054,0.7714285714285715,0.7083333333333334,0.5
0,Musk2,3,10,-141.40524703600022,0.78125,0.7619047619047619,0.7
0,Musk2,4,1,-283.6950671100003,0.6979591836734694,0.9285714285714286,0.8181818181818182
0,Musk2,4,2,-198.85356015900106,0.814795918367347,0.4285714285714286,0.6363636363636364
0,Musk2,4,3,-161.19736558699879,0.7107769423558897,0.875,0.7
0,Musk2,4,4,-82.29711876799956,0.8075187969924812,0.6666666666666667,0.6
0,Musk2,4,5,-343.6481977459989,0.7859649122807018,0.8333333333333334,0.6
0,Musk2,4,6,-439.5945917709996,0.744360902255639,0.5833333333333334,0.5
0,Musk2,4,7,-99.58789063999939,0.7734335839598998,0.6666666666666667,0.5
0,Musk2,4,8,-140.99994664099904,0.8275689223057644,0.7083333333333334,0.7
0,Musk2,4,9,-82.53022213700024,0.7914786967418546,0.7916666666666667,0.6
0,Musk2,4,10,-118.23289105200092,0.7410714285714286,0.9523809523809524,0.9
0,Musk2,5,1,-355.6173558369992,0.7413265306122448,0.7142857142857143,0.6363636363636364
0,Musk2,5,2,-449.4225752149996,0.7045918367346938,0.8928571428571429,0.7272727272727273
0,Musk2,5,3,-135.832685718,0.7879699248120301,1.0,0.7
0,Musk2,5,4,-98.72498543799884,0.7518796992481203,0.875,0.7
0,Musk2,5,5,-265.6407272430006,0.7172932330827069,0.5833333333333333,0.7
0,Musk2,5,6,-154.1684174940001,0.7578947368421052,0.8333333333333334,0.7
0,Musk2,5,7,-318.91058193199933,0.7218045112781954,0.5833333333333334,0.6
0,Musk2,5,8,-280.66490098599934,0.7328320802005013,0.9583333333333334,0.6
0,Musk2,5,9,-77.9684532529991,0.7969924812030075,0.6666666666666666,0.6
0,Musk2,5,10,-114.9505995870004,0.8308531746031746,0.19047619047619047,0.7
0,Musk2,Average,Average,-204.0012611323199,0.7781423648406731,0.7267857142857143,0.6507272727272728
