,data,replication,fold,trainRuntime,trainAUC,testAUC,trainAccuracy,TestAccuracy
0,CorelAntique,1,1,493.31216621099156,0.8586029889538662,0.8663157894736842,0.95,0.95
0,CorelAntique,1,2,493.9860577250074,0.859077322936972,0.8563157894736841,0.95,0.95
0,CorelAntique,1,3,494.51373205301934,0.8565562053281353,0.8736842105263157,0.95,0.95
0,CorelAntique,1,4,493.1749811769987,0.8605523066926576,0.8836842105263157,0.95,0.95
0,CorelAntique,1,5,493.9944660559995,0.858622482131254,0.8705263157894737,0.95,0.95
0,CorelAntique,1,6,491.2752721369907,0.8682975958414555,0.8142105263157895,0.95,0.95
0,CorelAntique,1,7,493.8904025510128,0.8643274853801169,0.8,0.95,0.95
0,CorelAntique,1,8,493.4920209129923,0.8517673814165042,0.9163157894736842,0.95,0.95
0,CorelAntique,1,9,493.7158881929936,0.8582391163092917,0.8552631578947368,0.95,0.95
0,CorelAntique,1,10,494.5734214829863,0.8606367771280051,0.8163157894736841,0.95,0.95
0,CorelAntique,2,1,493.9207991519943,0.8614684860298895,0.8847368421052632,0.95,0.95
0,CorelAntique,2,2,493.78795545204775,0.8594152046783625,0.856842105263158,0.95,0.95
0,CorelAntique,2,3,492.73075572401285,0.86,0.8047368421052632,0.95,0.95
0,CorelAntique,2,4,490.85826131596696,0.870012995451592,0.8110526315789474,0.95,0.95
0,CorelAntique,2,5,492.19622912997147,0.8569265756985055,0.9210526315789473,0.95,0.95
0,CorelAntique,2,6,492.14345957298065,0.8568096166341781,0.8752631578947369,0.95,0.95
0,CorelAntique,2,7,494.2663218359812,0.8620142949967511,0.8710526315789473,0.95,0.95
0,CorelAntique,2,8,493.29033159295795,0.8614100064977259,0.8552631578947368,0.95,0.95
0,CorelAntique,2,9,493.650838025962,0.8601819363222872,0.87,0.95,0.95
0,CorelAntique,2,10,493.24124937702436,0.8592072774528915,0.8357894736842105,0.95,0.95
0,CorelAntique,3,1,493.32283544400707,0.8586419753086418,0.8421052631578948,0.95,0.95
0,CorelAntique,3,2,493.7946713899728,0.8578622482131254,0.8621052631578948,0.95,0.95
0,CorelAntique,3,3,493.602701181022,0.8595581546458739,0.8742105263157895,0.95,0.95
0,CorelAntique,3,4,496.2044441400212,0.8601689408706953,0.9305263157894736,0.95,0.95
0,CorelAntique,3,5,493.676742155978,0.8607862248213125,0.8363157894736842,0.95,0.95
0,CorelAntique,3,6,492.76424070697976,0.8608901884340482,0.8636842105263158,0.95,0.95
0,CorelAntique,3,7,493.73789657704765,0.8544249512670565,0.8752631578947367,0.95,0.95
0,CorelAntique,3,8,493.7190059069544,0.8631189083820663,0.8410526315789474,0.95,0.95
0,CorelAntique,3,9,492.6569130989956,0.8608252111760883,0.8721052631578948,0.95,0.95
0,CorelAntique,3,10,492.7175202440121,0.8698830409356725,0.7594736842105263,0.95,0.95
0,CorelAntique,4,1,490.453709059977,0.8550942170240416,0.9015789473684211,0.95,0.95
0,CorelAntique,4,2,490.0852449120139,0.8649122807017544,0.7863157894736843,0.95,0.95
0,CorelAntique,4,3,491.2882765830145,0.8625925925925926,0.8726315789473684,0.95,0.95
0,CorelAntique,4,4,492.99287786503555,0.8570435347628331,0.8863157894736842,0.95,0.95
0,CorelAntique,4,5,494.2893261569552,0.8679922027290449,0.7831578947368422,0.95,0.95
0,CorelAntique,4,6,494.12009040196426,0.8602209226770631,0.8747368421052631,0.95,0.95
0,CorelAntique,4,7,491.7697805170319,0.8583300844704354,0.9110526315789473,0.95,0.95
